docs,corpus_size,vocabulary_size
1429,715676,60563
1430,715802,60568
1431,716336,60589
1432,724731,60912
1433,726087,61113
1434,726935,61150
1435,727156,61161
1436,727585,61211
1437,728262,61259
1438,728571,61282
1439,729441,61307
1440,729625,61316
1441,729789,61320
1442,730453,61368
1443,730624,61371
1444,730805,61375
1445,731400,61388
1446,731644,61466
1447,733944,61577
1448,735228,61620
1449,736484,61788
1450,736958,61809
1451,737445,62116
1452,738115,62169
1453,738630,62201
1454,738770,62206
1455,738979,62212
1456,739212,62236
1457,739515,62262
1458,739913,62292
1459,740106,62301
1460,740226,62301
1461,740536,62358
1462,740828,62377
1463,741013,62389
1464,741242,62401
1465,741386,62404
1466,741667,62431
1467,741916,62464
1468,742062,62467
1469,742258,62478
1470,742404,62482
1471,743029,62498
1472,743807,62524
1473,744166,62533
1474,744472,62541
1475,744946,62561
1476,745139,62567
1477,745330,62578
1478,745761,62601
1479,746092,62611
1480,746475,62623
1481,746789,62630
1482,747018,62637
1483,747635,62696
1484,748041,62715
1485,748281,62781
1486,748668,62800
1487,748857,62806
1488,749391,62838
1489,749940,62853
1490,750077,62860
1491,750217,62864
1492,750446,62869
1493,750609,62870
1494,750855,62874
1495,751060,62891
1496,752320,62934
1497,752688,62981
1498,753145,63000
1499,753412,63006
1500,754230,63047
1501,754556,63051
1502,755793,63123
1503,756069,63137
1504,756274,63139
1505,757243,63164
1506,757432,63164
1507,757593,63166
1508,757817,63177
1509,759508,63217
1510,759862,63232
1511,760100,63249
1512,761059,63282
1513,761248,63293
1514,761435,63299
1515,761621,63305
1516,761775,63309
1517,762122,63330
1518,762342,63370
1519,762545,63373
1520,762994,63386
1521,763188,63421
1522,763571,63434
1523,763822,63439
1524,763995,63440
1525,764343,63453
1526,764594,63490
1527,764914,63499
1528,765112,63501
1529,766928,63582
1530,767566,63602
1531,767777,63610
1532,768260,63640
1533,768399,63646
1534,768798,63658
1535,768978,63665
1536,769222,63673
1537,769568,63685
1538,769850,63722
1539,770118,63736
1540,770383,63743
1541,770612,63745
1542,771245,63768
1543,771438,63792
1544,771861,63983
1545,774974,64074
1546,775399,64089
1547,775617,64098
1548,775939,64119
1549,776115,64120
1550,776476,64132
1551,776696,64141
1552,776920,64146
1553,777068,64150
1554,777540,64195
1555,777846,64208
1556,778199,64222
1557,779039,64267
1558,780187,64334
1559,780835,64361
1560,781727,64400
1561,782720,64431
1562,783195,64531
1563,783349,64534
1564,783892,64547
1565,784276,64564
1566,785406,64583
1567,785803,64594
1568,786619,64643
1569,786795,64646
1570,786945,64648
1571,787094,64649
1572,787383,64723
1573,787586,64730
1574,788236,64761
1575,788508,64769
1576,788719,64773
1577,788861,64775
1578,788991,64777
1579,789089,64780
1580,789473,64793
1581,789695,64804
1582,789932,64808
1583,790086,64811
1584,791458,64845
1585,791614,64848
1586,791813,64852
1587,792148,64859
1588,792509,64866
1589,795036,65001
1590,795282,65008
1591,797150,65083
1592,797307,65090
1593,802262,65191
1594,802435,65232
1595,802717,65255
1596,803317,65277
1597,804045,65311
1598,804223,65319
1599,804413,65323
1600,805126,65360
1601,805312,65368
1602,805583,65374
1603,805805,65395
1604,806531,65433
1605,806793,65446
1606,807595,65465
1607,807847,65476
1608,808140,65491
1609,808253,65494
1610,808585,65494
1611,808749,65498
1612,809325,65532
1613,809493,65541
1614,809923,65569
1615,810366,65602
1616,810833,65620
1617,811142,65626
1618,812352,65668
1619,813377,65690
1620,813734,65697
1621,814256,65717
1622,814784,65733
1623,815011,65738
1624,815144,65741
1625,815447,65748
1626,815763,65752
1627,815965,65780
1628,816243,65799
1629,816912,65842
1630,817113,65888
1631,817427,65900
1632,817796,65903
1633,817983,65908
1634,818819,65957
1635,819086,65972
1636,819373,65991
1637,819891,66035
1638,820758,66087
1639,820929,66113
1640,821337,66136
1641,821524,66153
1642,821695,66157
1643,821931,66163
1644,822733,66188
1645,823008,66198
1646,823146,66201
1647,823789,66246
1648,823933,66248
1649,824153,66251
1650,824312,66255
1651,824544,66257
1652,825648,66303
1653,825959,66309
1654,830116,66507
1655,830855,66556
